product_name,brand,category,merchant,merchant_city,merchant_type,bundle,price_before_discount,price_after_discount,discount_percentage,unit_sold,product_rating
【video】skintific sunscreen 30ml aqua light daily sunscreen  spf35 pa+++/5x ceramide serum sunscreen spf50 pa++++/matte fit serum sunscreen spf50+ pa++++/light serum sunscreen spf50 pa ++++ 25ml,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,125676.0,93000.0,26,100,4.9
skintific 5pcs set glowing set / acne set /repair barrier set / anti dark spot set / hydrating set moisturizer + sunscreen + serum +cleanser + toner anti-aging exfollactic acidiating brightening whitening calming peeling dark spot,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,796667.0,478000.0,40,10,4.9
[kulit berjerawat]  skintific aqua light daily sunscreen spf 35 pa+++ 50ml,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,194118.0,99000.0,49,1,4.9
【video】skintific all day light sunscreen mist spf50 pa++++ 70ml/120ml,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,189796.0,93000.0,51,250,4.9
skintific acne skincare set 2/3/4/5pcs face wash  toner  serum  moisturizer  sunscreen  barrier  calming  salicylic acid  centella,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,349275.0,241000.0,31,250,4.9
【video】skintific 5pcs set glowing set / acne set /repair barrier set / anti dark spot set / hydrating set moisturizer + sunscreen + serum +cleanser + toner anti-aging exfollactic acidiating brightening whitening calming peeling dark spot retinol acid,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,796667.0,478000.0,40,3,4.9
skintific paket 10pcs set moisturizer + sunscreen + serum + clay mask stick + facial cleanser + toner + mask: bundle hyaluronic acid / niacinamide / ceramide / 377 / wajah membersihkan cleansing glowing / acne / anti dark spot hitam,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,900000.0,513000.0,43,1,4.9
skintific all day light sunscreen spray 2pcs spf50 pa++++ sunscreen mist anti uv wajah/body spray 50ml,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,258333.0,93000.0,64,10,4.9
【backup】skintific 5x ceramide serum sunscreen 30ml /50ml/80ml spf 50 pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,363235.0,247000.0,32,750,4.9
【campaign】skintific paket 10pcs set moisturizer + sunscreen + serum + clay mask stick + facial cleanser + toner + mask: bundle hyaluronic acid / niacinamide / ceramide / 377 / wajah membersihkan cleansing glowing / acne / anti dark spot hitam,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,903390.0,533000.0,41,750,4.9
