product_name,price_after_discount,discount_percentage,merchant,merchant_city,unit_sold,product_rating
Somethinc Low pH Gentle Jelly Cleanser 350 Gram,Rp210.500,6%,VIVA APOTEK,Jakarta Utara,20 terjual,5.0
Somethinc Copy Paste CoverBlur Powder Foundation W01 Bijoux,Rp139.500,20%,Watsons Indonesia Official Store,Kab. Tangerang,1 terjual,
Somethinc Copy Paste CoverBlur Powder Foundation C03 Eclair,Rp139.500,20%,Watsons Indonesia Official Store,Kab. Tangerang,1 terjual,
SOMETHINC Diamond Glow PhytoCell Serum,Rp159.900,27%,BeautyHaul_NEW,Tangerang,1 terjual,
Somethinc Mademoiselle Soft Focus Powder Blush Illusion,Rp60.750,25%,Watsons Indonesia Official Store,Kab. Tangerang,2 terjual,
Somethinc Refill Copy Paste Coverblur Powder Foundation N02.5 Linen,Rp91.700,24%,Watsons Indonesia Official Store,Kab. Tangerang,2 terjual,
Somethinc Refill Copy Paste Coverblur Powder Foundation N03 Alter,Rp91.700,24%,Watsons Indonesia Official Store,Kab. Tangerang,1 terjual,
SOMETHINC Gentle Bright Niacinamide + Alpha Arbutin Serum,Rp130.700,27%,BeautyHaul_NEW,Tangerang,5 terjual,
Somethinc Coverblur Pro Filter Breathable Cushion SPF 40 PA++++ Linen 12g,Rp156.000,25%,Watsons Indonesia Official Store,Kab. Tangerang,1 terjual,
Somethinc Idol Blurry Soft Lip Matte Trouble,Rp41.250,50%,Watsons Indonesia Official Store,Kab. Tangerang,2 terjual,
Somethinc Coverblur Pro Filter Breathable Cushion SPF 40 PA++++ Nina 12g,Rp156.000,25%,Watsons Indonesia Official Store,Kab. Tangerang,2 terjual,
Somethinc Idol Blurry Soft Lip Matte Trouble,Rp41.250,50%,Watsons Indonesia Official Store,Kab. Tangerang,2 terjual,
Somethinc Refill Copy Paste CoverBlur Powder Foundation W03 Goddess,Rp91.700,24%,Watsons Indonesia Official Store,Kab. Tangerang,3 terjual,
Somethinc Tamago Airy Blush - Maiden,Rp60.750,25%,Watsons Indonesia Official Store,Kab. Tangerang,3 terjual,
